2025,2024,university_name,Overall,Teaching,Satisfied with feedback,Student to staff ratio,Spend per student/10,Average entry tariff,Value added score/10,Career after 15 months,Continuation
1,2,University of Oxford,100,94.3,75.6,10.3,10,203,6.1,93,98
2,1,University of St Andrews,98.6,92.6,80.9,11.9,6.1,212,6.4,91,97.2
3,3,University of Cambridge,94.5,n/a,n/a,11.6,9.8,208,5.5,94,99
4,4,London School of Economics,88.1,87,72.1,12.8,8.9,192,6.8,93,96.6
5,5,Imperial College London,82.6,85.5,64.4,11.9,8.6,204,6.6,96,95.6
6,7,Durham University,80.8,87.9,74.2,13.5,6.2,185,6.2,91,97.5
7,6,Univerisity of Bath,79.5,88,72.8,15.3,6.2,180,6,92,96.8
8,9,University of Warwick,75.2,88.5,76.1,13.9,7.4,179,4.1,89,96.3
9,8,UCL,74.8,84.2,69.7,10.9,7.2,183,5.9,90,96.4
10,10,Loughborough University,74.6,87.6,75.6,14.1,4.5,162,5.5,89,96.6
11,11,Lancaster University,73.5,87.4,76.5,14,6.7,154,5.7,86,96.8
12,12,University of Aberdeen,73.3,89,77.4,15.1,5.4,187,7.2,85,94.2
13,15,University of the Arts London,70.5,79.3,80.9,11.5,9.2,153,6.3,73,91.3
14,13,University of Glasgow,68.9,84.7,68.2,14.4,5.2,211,5.5,86,94.7
15,14,University of Edinburgh,68.4,83.5,61.4,12.3,8.1,197,6,86,97.1
16,17,University of Bristol,68.1,84.2,68.3,13.9,7.4,174,5.5,87,96.6
17,16,University of Strathclyde,67.2,88.7,75,18.8,7.2,210,4.2,86,93.6
18,18,University of Exeter,66.2,87,72.2,16.3,4.7,163,6.2,86,96.2
19,21,University of Surrey,65.4,87.7,80.5,14.4,5.4,142,4,88,93.7
20,21,University of Sheffield,65.3,86.4,78,14.4,5.7,157,5.2,86,95.7
21,25,Aston University,65.1,84.4,76.7,17,5.8,134,6.2,87,95
22,20,University of Southampton,63.8,84.4,74.1,14,6.2,156,5.7,87,95.1
23,30,University of Essex,63.7,84.2,79.1,14.6,7.2,126,7.2,78,89.8
24,28,Ulster University,63.6,86.1,82,18.3,4.4,135,7.2,83,90.8
25,19,University of York,63.5,85.2,70.6,14.2,7.1,157,4.1,86,96
26,38,University of Chichester,63.3,87,80.5,15.2,3,134,5.7,80,92.2
27,36,University of Liverpool,63.2,84.7,74.7,13.6,7.5,147,6.1,86,95.9
28,23,King's College London,63.1,84.2,68.4,14,7.9,169,5.5,89,94.6
29,25,Swansea University,62.9,84.6,76.2,15.9,6.7,138,6.2,85,92
30,32,University of West London,62.7,88.8,84.3,12.9,5.9,112,7.8,75,85.9
31,24,University of Manchester,62.3,81.9,68,13.9,7.7,167,5.5,86,96.2
32,30,University of Bolton,62.2,86.9,83.1,15.1,8.2,121,4.4,80,83.7
33,49,University of Sunderland,61.6,85.1,81.7,13.9,7.4,127,6.7,72,85.2
34,48,University of Leicester,61.5,83,76,14.4,5.4,131,5.8,84,95.1
35,44,University of Reading,61.4,85.2,78.8,15.8,5.4,130,5.7,84,94.6
36,37,University of Birmingham,61.2,83.9,70.7,14.6,5.8,157,4.7,88,96
37,27,University of Leeds,61.1,81.2,67,14.4,7.3,163,5.3,86,96
38,38,Northumbria University,60.7,83.4,80.1,15.5,4.8,143,6.6,82,89.2
38,61,"City, University of London",60.7,82,73.4,18.2,6.9,138,6.7,83,92.1
38,51,Oxford Brookes University,60.7,84.1,79.3,13,4.7,118,5,82,93.6
41,33,University of Portsmouth,60.6,85.9,82,15.8,7.5,127,5.6,79,90.7
42,46,Coventry University,60.5,86.4,81.7,13,7,126,6.9,80,85.5
43,50,"Queen's, Belfast",60.3,84.3,75.5,15.4,4.6,157,4.7,90,93.8
44,35,Edge Hill University,60.1,79.3,78.2,15.1,5.4,134,6,81,91.2
45,33,UEA,59.8,84.4,74.8,13.4,4.1,140,6.1,85,93.3
46,53,University of Chester,59.7,82.9,80.7,15.1,5.5,131,6.5,79,90.2
46,40,Glasgow Caledonian University,59.7,85.8,76.5,22.6,3.5,178,6.8,84,91.3
